container.title,created,doi,title,type,first.author,authors
Ecology,2021-07-16,10.1002/ecy.3473,An integrated path for spatial capture–recapture and animal movement modeling,journal-article,McClintock,"Brett T. McClintock, Briana Abrahms, Richard B. Chandler, Paul B. Conn, Sarah J. Converse, Robert L. Emmet, Beth Gardner, Nathan J. Hostetter, Devin S. Johnson"
Journal of Avian Biology,2020-09-25,10.1111/jav.02509,"Effects of back‐mounted biologgers on condition, diving and flight performance in a breeding seabird",journal-article,Evans,"Tom J. Evans, Rebecca C. Young, Hannah Watson, Olof Olsson, Susanne Åkesson"
YOUMARES 8 – Oceans Across Boundaries: Learning from each other,2018-08-30,10.1007/978-3-319-93284-2_7,Bio-telemetry as an Essential Tool in Movement Ecology and Marine Conservation,book-chapter,Heylen,"Brigitte C. Heylen, Dominik A. Nachtsheim"
Journal of Avian Biology,2020-01-10,10.1111/jav.02057,Coping with the commute: behavioural responses to wind conditions in a foraging seabird,journal-article,Collins,"Philip M. Collins, Jonathan A. Green, Kyle H. Elliott, Peter J. A. Shaw, Lorraine Chivers, Scott A. Hatch, Lewis G. Halsey"
Marine Ecology Progress Series,2020-04-24,10.3354/meps13344,Short-term responses of sperm whales Physeter macrocephalus to the attachment of suction cup tags,journal-article,Warren,"VE Warren, PJO Miller, PL Tyack"
Comprehensive Physiology,2021-07-01,10.1002/cphy.c200005,Field Physiology: Studying Organismal Function in the Natural Environment,other,Williams,"Cassondra L. Williams, Allyson G. Hindle"
Frontiers in Marine Science,2018-12-14,10.3389/fmars.2018.00464,View From Below: Inferring Behavior and Physiology of Southern Ocean Marine Predators From Dive Telemetry,journal-article,Roncon,"Giulia Roncon, Sophie Bestley, Clive R. McMahon, Barbara Wienecke, Mark A. Hindell"
Advanced Robotics,2018-12-05,10.1080/01691864.2018.1553686,Advances in bio-logging techniques and their application to study navigation in wild seabirds,journal-article,Yoda,Ken Yoda
"Ethology and Behavioral Ecology of Phocids,Ethology and Behavioral Ecology of Marine Mammals",2022-03-17,10.1007/978-3-030-88923-4_5,Habitat Utilization and Behavior of Phocid Seals in Relation to Oceanography,book-chapter,Hückstädt,"Luis A. Hückstädt, Ryan R. Reisinger"
Ocean Science Journal,2021-04-23,10.1007/s12601-021-00015-1,A Review: Marine Bio-logging of Animal Behaviour and Ocean Environments,journal-article,Chung,"Hyunjae Chung, Jongchan Lee, Won Young Lee"
Animal Biotelemetry,2021-07-01,10.1186/s40317-021-00245-z,Dead-reckoning animal movements in R: a reappraisal using Gundog.Tracks,journal-article,Gunner,"Richard M. Gunner, Mark D. Holton, Mike D. Scantlebury, O. Louis van Schalkwyk, Holly M. English, Hannah J. Williams, Phil Hopkins, Flavio Quintana, Agustina Gómez-Laich, Luca Börger, James Redcliffe, Ken Yoda, Takashi Yamamoto, Sam Ferreira, Danny Govender, Pauli Viljoen, Angela Bruns, Stephen H. Bell, Nikki J. Marks, Nigel C. Bennett, Mariano H. Tonini, Carlos M. Duarte, Martin C. van Rooyen, Mads F. Bertelsen, Craig J. Tambling, Rory P. Wilson"
Journal of Experimental Biology,2019-02-06,10.1242/jeb.184689,Using on-board sound recordings to infer behaviour of free-moving wild animals,journal-article,Greif,"Stefan Greif, Yossi Yovel"
"Ethology and Behavioral Ecology of Phocids,Ethology and Behavioral Ecology of Marine Mammals",2022-03-17,10.1007/978-3-030-88923-4_6,Foraging Ecology and Behavior,book-chapter,Don Bowen,"W. Don Bowen, Ian D. Jonsen"
Ibis,2022-04-22,10.1111/ibi.13068,"Non‐breeding distribution and at‐sea activity patterns of the smallest European seabird, the European Storm Petrel (
            <i>Hydrobates pelagicus</i>
            )",journal-article,Militão,"Teresa Militão, Ana Sanz‐Aguilar, Andreu Rotger, Raül Ramos"
Movement Ecology,2020-02-10,10.1186/s40462-020-0191-3,Active acoustic telemetry tracking and tri-axial accelerometers reveal fine-scale movement strategies of a non-obligate ram ventilator,journal-article,Meese,"Emily N. Meese, Christopher G. Lowe"
Journal of Experimental Biology,2021-07-07,10.1242/jeb.202747,Too big to study? The biologging approach to understanding the behavioural energetics of ocean giants,journal-article,Watanabe,"Yuuki Y. Watanabe, Jeremy A. Goldbogen"
Ardeola,2016-04-25,10.13157/arla.63.1.2016.rp5,Individual-Based Tracking Systems in Ornithology: Welcome to the Era of Big Data,journal-article,López-López,Pascual López-López
Animal Behaviour,2022-09-24,10.1016/j.anbehav.2022.07.014,Individual foraging site fidelity increases from incubation to nestling rearing in a colonial bird,journal-article,Ramellini,"Samuele Ramellini, Simona Imperio, Jennifer Morinay, Federico De Pascalis, Carlo Catoni, Michelangelo Morganti, Diego Rubolini, Jacopo G. Cecere"
Philosophical Transactions of the Royal Society B: Biological Sciences,2021-06-28,10.1098/rstb.2020.0230,Future trends in measuring physiology in free-living animals,journal-article,Williams,"H. J. Williams, J. Ryan Shipley, C. Rutz, M. Wikelski, M. Wilkes, L. A. Hawkes"
Marine Ecology Progress Series,2012-01-19,10.3354/meps09608,Technological innovation in archival tags used in seabird research,journal-article,Wilson,"RP Wilson, SP Vandenabeele"
Ecology and Evolution,2020-07-07,10.1002/ece3.6515,A new direction for differentiating animal activity based on measuring angular velocity about the yaw axis,journal-article,Gunner,"Richard M. Gunner, Rory P. Wilson, Mark D. Holton, Rebecca Scott, Phil Hopkins, Carlos M. Duarte"
Functional Ecology,2017-01-04,10.1111/1365-2435.12822,"Relationships grow with time: a note of caution about energy expenditure‐proxy correlations, focussing on accelerometry as an example",journal-article,Halsey,Lewis G. Halsey
Frontiers in Ecology and Evolution,2020-01-21,10.3389/fevo.2019.00504,Behavioral Biomarkers for Animal Health: A Case Study Using Animal-Attached Technology on Loggerhead Turtles,journal-article,Arkwright,"Alexandra C. Arkwright, Emma Archibald, Andreas Fahlman, Mark D. Holton, Jose Luis Crespo-Picazo, Vicente M. Cabedo, Carlos M. Duarte, Rebecca Scott, Sophie Webb, Richard M. Gunner, Rory P. Wilson"
Ecology and Evolution,2017-11-24,10.1002/ece3.3593,Search and foraging behaviors from movement data: A comparison of methods,journal-article,Bennison,"Ashley Bennison, Stuart Bearhop, Thomas W. Bodey, Stephen C. Votier, W. James Grecian, Ewan D. Wakefield, Keith C. Hamer, Mark Jessopp"
"Estuarine, Coastal and Shelf Science",2022-09-30,10.1016/j.ecss.2022.108089,Fishing activities shape the flight behaviour of an opportunistic predator species,journal-article,Ouled-Cheikh,"Jazel Ouled-Cheikh, Francisco Ramírez, Moisès Sánchez-Fortún, Augusto Cortejana, Carola Sanpera, Josep Lluís Carrasco"
Journal of Animal Ecology,2020-01-13,10.1111/1365-2656.13163,Biologging Special Feature,journal-article,Börger,"Luca Börger, Allert I. Bijleveld, Annette L. Fayet, Gabriel E. Machovsky‐Capuska, Samantha C. Patrick, Garrett M. Street, Eric Vander Wal"
Animal Biotelemetry,2019-10-04,10.1186/s40317-019-0182-6,Best practice recommendations for the use of external telemetry devices on pinnipeds,journal-article,Horning,"Markus Horning, Russel D. Andrews, Amanda M. Bishop, Peter L. Boveng, Daniel P. Costa, Daniel E. Crocker, Martin Haulena, Mark Hindell, Allyson G. Hindle, Rachel R. Holser, Sascha K. Hooker, Luis A. Hückstädt, Shawn Johnson, Mary-Anne Lea, Birgitte I. McDonald, Clive R. McMahon, Patrick W. Robinson, Renae L. Sattler, Courtney R. Shuert, Sheanna M. Steingass, Dave Thompson, Pamela A. Tuomi, Cassondra L. Williams, Jamie N. Womble"
Frontiers in Ecology and Evolution,2020-06-10,10.3389/fevo.2020.00169,Integrative Framework for Long-Term Activity Monitoring of Small and Secretive Animals: Validation With a Cryptic Pitviper,journal-article,DeSantis,"Dominic L. DeSantis, Vicente Mata-Silva, Jerry D. Johnson, Amy E. Wagler"
Frontiers in Ecology and Evolution,2020-09-11,10.3389/fevo.2020.555509,Thermoregulatory Strategies of Diving Air-Breathing Marine Vertebrates: A Review,journal-article,Favilla,"Arina B. Favilla, Daniel P. Costa"
NA,2020-08-14,10.1101/2020.08.13.249151,Why did the animal turn? Time-varying step selection analysis for inference between observed turning points in high frequency data,posted-content,Munden,"Rhys Munden, Luca Börger, Rory P. Wilson, James Redcliffe, Rowan Brown, Mathieu Garel, Jonathan R. Potts"
Animal Biotelemetry,2019-08-23,10.1186/s40317-019-0175-5,Deep learning accurately predicts white shark locomotor activity from depth data,journal-article,Liu,"Zac Yung-Chun Liu, Jerry H. Moxley, Paul Kanive, Adrian C. Gleiss, Thom Maughan, Larry Bird, Oliver J. D. Jewell, Taylor K. Chapple, Tyler Gagne, Connor F. White, Salvador J. Jorgensen"
Ecology,2022-05-28,10.1002/ecy.3772,Modeling spatiotemporal abundance and movement dynamics using an integrated spatial capture–recapture movement model,journal-article,Hostetter,"Nathan J. Hostetter, Eric V. Regehr, Ryan R. Wilson, J. Andrew Royle, Sarah J. Converse"
"Ethology and Behavioral Ecology of Phocids,Ethology and Behavioral Ecology of Marine Mammals",2022-03-17,10.1007/978-3-030-88923-4_11,The Elephant Seal: Linking Phenotypic Variation with Behavior and Fitness in a Sexually Dimorphic Phocid,book-chapter,Beltran,"Roxanne S. Beltran, Mark A. Hindell, Clive R. McMahon"
Spatial Statistics,2019-12-31,10.1016/j.spasta.2019.100406,Animal movement models with mechanistic selection functions,journal-article,Hooten,"Mevin B. Hooten, Xinyi Lu, Martha J. Garlick, James A. Powell"
NA,2012-06-19,10.1017/cbo9780511840906,Vertebrate Ecophysiology,monograph,Bradshaw,Don Bradshaw
NA,2019-10-26,10.1101/819763,A hierarchical framework for segmenting movement paths,posted-content,Getz,Wayne M. Getz
Canadian Journal of Fisheries and Aquatic Sciences,2020-09-08,10.1139/cjfas-2020-0032,Simulated instream restoration structures offer smallmouth bass (<i>Micropterus dolomieu</i>) swimming and energetic advantages at high flow velocities,journal-article,Strailey,"Katherine K. Strailey, Ryan T. Osborn, Rafael O. Tinoco, Piotr Cienciala, Bruce L. Rhoads, Cory D. Suski"
Movement Ecology,2021-02-22,10.1186/s40462-021-00243-z,Hidden Markov models identify major movement modes in accelerometer and magnetometer data from four albatross species,journal-article,Conners,"Melinda G. Conners, Théo Michelot, Eleanor I. Heywood, Rachael A. Orben, Richard A. Phillips, Alexei L. Vyssotski, Scott A. Shaffer, Lesley H. Thorne"
Marine Ecology Progress Series,2020-04-28,10.3354/meps13346,Daily and seasonal movements of Cape Cod gray seals vary with predation risk,journal-article,Moxley,"JH Moxley, G Skomal, J Chisholm, P Halpin, DW Johnston"
Tools for Oceanography and Ecosystemic Modeling,2016-07-18,10.1002/9781119330226.ch5,"“Bio‐logging” as a Tool to Study and Monitor Marine Ecosystems, or How to Spy on Sea Creatures",other,Tremblay,"Yann Tremblay, Sophie Bertrand"
Ecosphere,2021-06-09,10.1002/ecs2.3565,Quantifying behavior and life‐history events of an Arctic ungulate from year‐long continuous accelerometer data,journal-article,Chimienti,"Marianna Chimienti, Floris M. Beest, Larissa T. Beumer, Jean‐Pierre Desforges, Lars H. Hansen, Mikkel Stelvig, Niels Martin Schmidt"
"Ethology and Behavioral Ecology of Phocids,Ethology and Behavioral Ecology of Marine Mammals",2022-03-17,10.1007/978-3-030-88923-4_12,Dive Types Matter: They Reveal the Foraging Ecology of Elephant Seals,book-chapter,Le Boeuf,"B. J. Le Boeuf, Y. Naito"
Spatial Analysis in Field Primatology,2021-01-29,10.1017/9781107449824.004,“Next-Gen” Tracking in Primatology,book-chapter,Crofoot,Margaret C. Crofoot
ICES Journal of Marine Science,2022-03-21,10.1093/icesjms/fsac059,Big data approaches to the spatial ecology and conservation of marine megafauna,journal-article,Grémillet,"David Grémillet, Damien Chevallier, Christophe Guinet"
Methods in Ecology and Evolution,2017-06-21,10.1111/2041-210x.12845,Processing of acceleration and dive data on‐board satellite relay tags to investigate diving and foraging behaviour in free‐ranging marine predators,journal-article,Cox,"Sam L. Cox, Florian Orgeret, Mathieu Gesta, Charles Rodde, Isaac Heizer, Henri Weimerskirch, Christophe Guinet"
Movement Ecology,2021-03-30,10.1186/s40462-021-00245-x,"An evaluation of machine learning classifiers for next-generation, continuous-ethogram smart trackers",journal-article,Yu,"Hui Yu, Jian Deng, Ran Nathan, Max Kröschel, Sasha Pekarsky, Guozheng Li, Marcel Klaassen"
Animal Movement,2017-03-21,10.1201/9781315117744-10,References,other,,
Frontiers in Marine Science,2021-11-05,10.3389/fmars.2021.751840,Animal Borne Ocean Sensors – AniBOS – An Essential Component of the Global Ocean Observing System,journal-article,McMahon,"Clive R. McMahon, Fabien Roquet, Sophie Baudel, Mathieu Belbeoch, Sophie Bestley, Clint Blight, Lars Boehme, Fiona Carse, Daniel P. Costa, Michael A. Fedak, Christophe Guinet, Robert Harcourt, Emma Heslop, Mark A. Hindell, Xavier Hoenner, Kim Holland, Mellinda Holland, Fabrice R. A. Jaine, Tiphaine Jeanniard du Dot, Ian Jonsen, Theresa R. Keates, Kit M. Kovacs, Sara Labrousse, Philip Lovell, Christian Lydersen, David March, Matthew Mazloff, Megan K. McKinzie, Mônica M. C. Muelbert, Kevin O’Brien, Lachlan Phillips, Esther Portela, Jonathan Pye, Stephen Rintoul, Katsufumi Sato, Ana M. M. Sequeira, Samantha E. Simmons, Vardis M. Tsontos, Victor Turpin, Esmee van Wijk, Danny Vo, Mia Wege, Frederick Gilbert Whoriskey, Kenady Wilson, Bill Woodward"
Japanese Journal of Ornithology,2010-06-03,10.3838/jjo.59.3,Advances in biologging science: a review of bird studies,journal-article,Takahashi,"Akinori Takahashi, Ken Yoda"
Marine Biology,2021-05-10,10.1007/s00227-021-03892-1,Fine-scale body and head movements allow to determine prey capture events in the Magellanic Penguin (Spheniscus magellanicus),journal-article,Del Caño,"Monserrat Del Caño, Flavio Quintana, Ken Yoda, Giacomo Dell’Omo, Gabriela S. Blanco, Agustina Gómez-Laich"
Conservation Physiology,2020-12-05,10.1093/conphys/coaa128,"Assessing the post-release effects of capture, handling and placement of satellite telemetry devices on narwhal<i>(Monodon monoceros)</i>movement behaviour",journal-article,Shuert,"Courtney R Shuert, Marianne Marcoux, Nigel E Hussey, Cortney A Watt, Marie Auger-Méthé"
NA,2021-06-10,10.1101/2021.06.08.446548,Biologging of emperor penguins – attachment techniques and associated deployment performance,posted-content,Houstin,"Aymeric Houstin, Daniel P. Zitterbart, Alexander Winterl, Sebastian Richter, Víctor Planas-Bielsa, Damien Chevallier, André Ancel, Jérôme Fournier, Ben Fabry, Céline Le Bohec"
Methods in Ecology and Evolution,2021-10-27,10.1111/2041-210x.13751,Overall dynamic body acceleration measures activity differently on large versus small aquatic animals,journal-article,Martín López,"Lucía Martina Martín López, Natacha Aguilar de Soto, Peter T. Madsen, Mark Johnson"
Movement Ecology,2017-08-31,10.1186/s40462-017-0108-y,Three-dimensional space use during the bottom phase of southern elephant seal dives,journal-article,Bras,"Yves Le Bras, Joffrey Jouma’a, Christophe Guinet"
PLOS ONE,2017-06-07,10.1371/journal.pone.0177892,Combined use of tri-axial accelerometers and GPS reveals the flexible foraging strategy of a bird in relation to weather conditions,journal-article,Hernández-Pliego,"Jesús Hernández-Pliego, Carlos Rodríguez, Giacomo Dell’Omo, Javier Bustamante"
Marine Ecology Progress Series,2017-05-12,10.3354/meps12191,"Three-dimensional assessment of hunting strategies in a deep diving predator, southern elephant seal Mirounga leonina",journal-article,Jouma’a,"J Jouma’a, Y Le Bras, B Picard, C Guinet"
Frontiers in Ecology and Evolution,2019-02-19,10.3389/fevo.2019.00030,Validation of Dive Foraging Indices Using Archived and Transmitted Acceleration Data: The Case of the Weddell Seal,journal-article,Heerah,"Karine Heerah, Sam L. Cox, Pierre Blevin, Christophe Guinet, Jean-Benoît Charrassin"
Ecology and Evolution,2016-01-11,10.1002/ece3.1914,The use of an unsupervised learning approach for characterizing latent behaviors in accelerometer data,journal-article,Chimienti,"Marianna Chimienti, Thomas Cornulier, Ellie Owen, Mark Bolton, Ian M. Davies, Justin M.J. Travis, Beth E. Scott"
Spatial Ecology and Conservation Modeling,2019-02-15,10.1007/978-3-030-01989-1_8,Space Use and Resource Selection,book-chapter,Fletcher,"Robert Fletcher, Marie-Josée Fortin"
Journal of Experimental Marine Biology and Ecology,2019-01-05,10.1016/j.jembe.2018.12.003,Assessing the effects of sampling frequency on behavioural classification of accelerometer data,journal-article,Hounslow,"J.L. Hounslow, L.R. Brewster, K.O. Lear, T.L. Guttridge, R. Daly, N.M. Whitney, A.C. Gleiss"
Journal of The Royal Society Interface,2022-01-19,10.1098/rsif.2021.0692,"Decision rules for determining terrestrial movement and the consequences for filtering high-resolution global positioning system tracks: a case study using the African lion (
            <i>Panthera leo</i>
            )",journal-article,Gunner,"Richard M. Gunner, Rory P. Wilson, Mark D. Holton, Phil Hopkins, Stephen H. Bell, Nikki J. Marks, Nigel C. Bennett, Sam Ferreira, Danny Govender, Pauli Viljoen, Angela Bruns, O. Louis van Schalkwyk, Mads F. Bertelsen, Carlos M. Duarte, Martin C. van Rooyen, Craig J. Tambling, Aoife Göppert, Delmar Diesel, D. Michael Scantlebury"
Journal of Animal Ecology,2022-07-27,10.1111/1365-2656.13787,"A sampling, exposure and receptor framework for identifying factors that modulate behavioural responses to disturbance in cetaceans",journal-article,Booth,"Cormac G. Booth, Naomi Brannan, Rebecca Dunlop, Ari Friedlander, Saana Isojunno, Patrick Miller, Nicola Quick, Brandon Southall, Enrico Pirotta"
Methods in Ecology and Evolution,2021-02-13,10.1111/2041-210x.13574,Why did the animal turn? Time‐varying step selection analysis for inference between observed turning‐points in high frequency data,journal-article,Munden,"Rhys Munden, Luca Börger, Rory P. Wilson, James Redcliffe, Rowan Brown, Mathieu Garel, Jonathan R. Potts"
Sensors,2021-03-24,10.3390/s21062229,Behaviour Classification on Giraffes (Giraffa camelopardalis) Using Machine Learning Algorithms on Triaxial Acceleration Data of Two Commonly Used GPS Devices and Its Possible Application for Their Management and Conservation,journal-article,Brandes,"Stefanie Brandes, Florian Sicks, Anne Berger"
Ecological Applications,2022-04-20,10.1002/eap.2640,Interacting lethal and nonlethal human activities shape complex risk tolerance behaviors in a mountain herbivore,journal-article,Courbin,"Nicolas Courbin, Mathieu Garel, Pascal Marchand, Antoine Duparc, Lucie Debeffe, Luca Börger, Anne Loison"
Ecology and Evolution,2017-10-26,10.1002/ece3.3551,Taking movement data to new depths: Inferring prey availability and patch profitability from seabird foraging behavior,journal-article,Chimienti,"Marianna Chimienti, Thomas Cornulier, Ellie Owen, Mark Bolton, Ian M. Davies, Justin M. J. Travis, Beth E. Scott"
Marine Biology,2021-09-24,10.1007/s00227-021-03968-y,Accelerometry predicts prey-capture rates in the deep-diving king penguin Aptenodytes patagonicus,journal-article,Brisson-Curadeau,"Émile Brisson-Curadeau, Yves Handrich, Kyle H. Elliott, Charles-André Bost"
European Journal of Wildlife Research,2016-09-28,10.1007/s10344-016-1051-8,Short-term effects of tagging on activity and movement patterns of Eurasian beavers (Castor fiber),journal-article,Graf,"P. M. Graf, J. Hochreiter, K. Hackländer, R. P. Wilson, F. Rosell"
Sturkie's Avian Physiology,2021-11-12,10.1016/b978-0-12-819770-7.00012-8,Flight,book-chapter,Bishop,"Charles M. Bishop, Christopher G. Guglielmo"
Trends in Ecology &amp; Evolution,2022-08-02,10.1016/j.tree.2022.06.008,Viewing animal migration through a social lens,journal-article,Aikens,"Ellen O. Aikens, Iris D. Bontekoe, Lara Blumenstiel, Anna Schlicksupp, Andrea Flack"
Scientific Reports,2020-12-09,10.1038/s41598-020-78025-7,"Acceleration predicts energy expenditure in a fat, flightless, diving bird",journal-article,Hicks,"Olivia Hicks, Akiko Kato, Frederic Angelier, Danuta M. Wisniewska, Catherine Hambly, John R. Speakman, Coline Marciau, Yan Ropert-Coudert"
Behavioral Ecology,2018-11-28,10.1093/beheco/ary183,"Modeling the functional link between movement, feeding activity, and condition in a marine predator",journal-article,Pirotta,"Enrico Pirotta, Lisa K Schwarz, Daniel P Costa, Patrick W Robinson, Leslie New"
Royal Society Open Science,2019-10-16,10.1098/rsos.191369,Dive behaviour and foraging effort of female Cape fur seals<i>Arctocephalus pusillus pusillus</i>,journal-article,Kirkman,"S. P. Kirkman, D. P. Costa, A.-L. Harrison, P. G. H. Kotze, W. H. Oosthuizen, M. Weise, J. A. Botha, J. P. Y. Arnould"
NA,2022-01-30,10.1101/2022.01.29.478280,A guide to sampling design for GPS-based studies of animal societies,posted-content,He,"Peng He, James A. Klarevas-Irby, Danai Papageorgiou, Charlotte Christensen, Eli D. Strauss, Damien R. Farine"
Journal of Animal Ecology,2021-05-20,10.1111/1365-2656.13538,A methodological roadmap to quantify animal‐vectored spatial ecosystem subsidies,journal-article,Ellis‐Soto,"Diego Ellis‐Soto, Kristy M. Ferraro, Matteo Rizzuto, Emily Briggs, Julia D. Monk, Oswald J. Schmitz"
Journal of Animal Ecology,2022-04-01,10.1111/1365-2656.13695,"<i>pamlr</i>
            : A toolbox for analysing animal behaviour using pressure, acceleration, temperature, magnetic or light data in R",journal-article,Dhanjal‐Adams,"Kiran L. Dhanjal‐Adams, Astrid S. T. Willener, Felix Liechti"
Methods in Ecology and Evolution,2021-07-26,10.1111/2041-210x.13681,Characterising menotactic behaviours in movement data using hidden Markov models,journal-article,Togunov,"Ron R. Togunov, Andrew E. Derocher, Nicholas J. Lunn, Marie Auger‐Méthé"
Methods in Ecology and Evolution,2022-10-11,10.1111/2041-210x.13999,"A guide to sampling design for
            <scp>GPS</scp>
            ‐based studies of animal societies",journal-article,He,"Peng He, James A. Klarevas‐Irby, Danai Papageorgiou, Charlotte Christensen, Eli D. Strauss, Damien R. Farine"
Oikos,2020-07-21,10.1111/oik.07509,Central place foraging drives niche partitioning in seabirds,journal-article,Jessopp,"Mark Jessopp, Gavin E. Arneill, Milaja Nykänen, Ashley Bennison, Emer Rogan"
ISRN Zoology,2013-01-14,10.1155/2013/631839,Long-Distance Animal Migrations in the Oceanic Environment: Orientation and Navigation Correlates,journal-article,Luschi,Paolo Luschi
Animal Biotelemetry,2021-03-12,10.1186/s40317-021-00235-1,Validating Star-Oddi heart rate and acceleration data storage tags for use in Atlantic salmon (Salmo salar),journal-article,Zrini,"Zoe Amanda Zrini, A. Kurt Gamperl"
Marine Ecology Progress Series,2020-07-09,10.3354/meps13400,"Sharing wintering grounds does not synchronize annual survival in a high Arctic seabird, the little auk",journal-article,Descamps,"S Descamps, B Merkel, H Strøm, R Choquet, H Steen, J Fort, M Gavrilo, D Grémillet, D Jakubas, K Jerstad, NJ Karnovsky, YV Krasnov, B Moe, J Welcker, K Wojczulanis-Jakubas"
Frontiers in Marine Science,2018-02-13,10.3389/fmars.2018.00021,How Big Data Fast Tracked Human Mobility Research and the Lessons for Animal Movement Ecology,journal-article,Thums,"Michele Thums, Juan Fernández-Gracia, Ana M. M. Sequeira, Víctor M. Eguíluz, Carlos M. Duarte, Mark G. Meekan"
Royal Society Open Science,2022-01-26,10.1098/rsos.210520,A bioenergetics approach to understanding sex differences in the foraging behaviour of a sexually monomorphic species,journal-article,Bennison,"Ashley Bennison, Joan Giménez, John L. Quinn, Jonathan A. Green, Mark Jessopp"
Ecological Processes,2022-09-06,10.1186/s13717-022-00399-5,A hierarchical path-segmentation movement ecology framework,journal-article,Getz,Wayne M. Getz
Animal Biotelemetry,2016-05-04,10.1186/s40317-016-0104-9,Neckband or backpack? Differences in tag design and their effects on GPS/accelerometer tracking results in large waterbirds,journal-article,Kölzsch,"Andrea Kölzsch, Marjolein Neefjes, Jude Barkway, Gerhard J. D. M. Müskens, Frank van Langevelde, Willem F. de Boer, Herbert H. T. Prins, Brian H. Cresswell, Bart A. Nolet"
Animal Biotelemetry,2016-05-04,10.1186/s40317-016-0105-8,Bringing data to the surface: recovering data loggers for large sample sizes from marine vertebrates,journal-article,Lear,"Karissa O. Lear, Nicholas M. Whitney"
Sensors,2020-12-14,10.3390/s20247096,Assessment of Machine Learning Models to Identify Port Jackson Shark Behaviours Using Tri-Axial Accelerometers,journal-article,Kadar,"Julianna P. Kadar, Monique A. Ladds, Joanna Day, Brianne Lyall, Culum Brown"
Ecology and Evolution,2015-10-02,10.1002/ece3.1660,Interpreting behaviors from accelerometry: a method combining simplicity and objectivity,journal-article,Collins,"Philip M. Collins, Jonathan A. Green, Victoria Warwick-Evans, Stephen Dodd, Peter J. A. Shaw, John P. Y. Arnould, Lewis G. Halsey"
"Ethology and Behavioral Ecology of Marine Mammals,Marine Mammals: the Evolving Human Factor",2022-06-08,10.1007/978-3-030-98100-6_5,Marine Mammal Movement Ecology in a Conservation and Management Context,book-chapter,Reisinger,"Ryan R. Reisinger, Chris Johnson, Ari S. Friedlaender"
Marine Biology,2022-03-28,10.1007/s00227-022-04046-7,Measurements of American lobster heart rate and movements in the wild using a low-cost open source datalogger,journal-article,Gutzler,"Benjamin C. Gutzler, Winsor H. Watson III"
Environmental Biology of Fishes,2018-02-02,10.1007/s10641-018-0736-0,In situ swimming behaviors and oxygen consumption rates of juvenile lemon sharks (Negaprion brevirostris),journal-article,Bouyoucos,"Ian A. Bouyoucos, Cory D. Suski, John W. Mandelman, Edward J. Brooks"
Respiratory Physiology of Vertebrates,2012-06-17,10.1017/cbo9780511845178.008,Air breathers under water: diving mammals and birds,book-chapter,Folkow,"Lars P. Folkow, Arnoldus Schytte Blix"
Scientific Reports,2019-06-20,10.1038/s41598-019-44970-1,"A quantitative, hierarchical approach for detecting drift dives and tracking buoyancy changes in southern elephant seals",journal-article,Arce,"Fernando Arce, Sophie Bestley, Mark A. Hindell, Clive R. McMahon, Simon Wotherspoon"
Integrative and Comparative Biology,2017-05-17,10.1093/icb/icx038,Does the Treadmill Support Valid Energetics Estimates of Field Locomotion?,journal-article,Bidder,"Owen R. Bidder, Colette Goulding, Alejandra Toledo, Tessa A. van Walsum, Ursula Siebert, Lewis G. Halsey"
Royal Society Open Science,2020-05-13,10.1098/rsos.200139,Behavioural inference from signal processing using animal-borne multi-sensor loggers: a novel solution to extend the knowledge of sea turtle ecology,journal-article,Jeantet,"Lorène Jeantet, Víctor Planas-Bielsa, Simon Benhamou, Sebastien Geiger, Jordan Martin, Flora Siegwalt, Pierre Lelong, Julie Gresser, Denis Etienne, Gaëlle Hiélard, Alexandre Arque, Sidney Regis, Nicolas Lecerf, Cédric Frouin, Abdelwahab Benhalilou, Céline Murgale, Thomas Maillet, Lucas Andreani, Guilhem Campistron, Hélène Delvaux, Christelle Guyon, Sandrine Richard, Fabien Lefebvre, Nathalie Aubert, Caroline Habold, Yvon le Maho, Damien Chevallier"
Philosophical Transactions of the Royal Society B: Biological Sciences,2021-06-14,10.1098/rstb.2020.0217,An engineering perspective on the development and evolution of implantable cardiac monitors in free-living animals,journal-article,Laske,"Timothy G. Laske, David L. Garshelis, Tinen L. Iles, Paul A. Iaizzo"
Functional Ecology,2020-10-07,10.1111/1365-2435.13649,Hunters versus hunted: New perspectives on the energetic costs of survival at the top of the food chain,journal-article,Williams,"Terrie M. Williams, Mads Peter‐Heide Jørgensen, Anthony M. Pagano, Caleb M. Bryce"
Methods in Ecology and Evolution,2022-01-21,10.1111/2041-210x.13804,Ecological inference using data from accelerometers needs careful protocols,journal-article,Garde,"Baptiste Garde, Rory P. Wilson, Adam Fell, Nik Cole, Vikash Tatayah, Mark D. Holton, Kayleigh A. R. Rose, Richard S. Metcalfe, Hermina Robotka, Martin Wikelski, Fred Tremblay, Shannon Whelan, Kyle H. Elliott, Emily L. C. Shepard"
Animal Biotelemetry,2015-10-05,10.1186/s40317-015-0074-3,From high-resolution to low-resolution dive datasets: a new index to quantify the foraging effort of marine predators,journal-article,Heerah,"Karine Heerah, Mark Hindell, Christophe Guinet, Jean-Benoît Charrassin"
